text_segment_id;company_name;company_url;source_url;is_pdf;labels;text_segment
1;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/powertrain/fuel-cell-electric/battery-management-system/;False;1;"The battery management system (BMS) and electronic battery disconnect unit are described as components that monitor, manage, control, and disconnect the cells of a battery-electric or plug-in hybrid vehicle. The BMS includes a battery control unit plus multiple cell-supervision circuits; the disconnect unit can integrate the disconnect function, the BMS, and optionally cell-monitoring units as an all-in-one solution. The battery control unit measures cell voltage and battery current, controls contactors and pyro fuses, and provides vehicle interfaces via a 12-V supply with CAN, Ethernet, or other protocols. Cell-supervision circuits are scalable and can meet functional safety up to ASIL D; housing materials can be selected for balancing-current and cooling requirements."
2;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/power-electronics/inverter-generation-4/;False;2;Bosch describes its fourth-generation traction inverter as available in attached or integrated form and suitable for 400-V and 800-V architectures. With silicon-carbide (SiC) semiconductors, the page claims up to 99% efficiency, more than 50 kVA/L power density (over 100% higher than the prior generation), and up to 6% more range on vehicle level depending on the use case. SiC MOSFETs are said to cut total switching losses by roughly 50% versus Si IGBTs and to allow switching frequencies up to 24 kHz. Technical data lists 210–470 VDC / 360–920 VDC, AC peak currents 320–800 ARMS / 210–600 ARMS, peak power 50–250 kW / 100–350 kW, and continuous power up to 60% of peak.
3;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/powertrain/battery-electric/eaxle/;False;2;Bosch eAxle systems combine an electric motor, power electronics, and a transmission into a compact drive unit for battery-electric vehicles and hybrid applications. The platform is presented with standardized modules and the choice of 3-in-1 or 6-in-1 variants, where the 6-in-1 concept places six components in a single system housing. The page lists scalable output of 70–300 kW, a 400-V / 800-V voltage range, and motor technologies including permanently excited synchronous machines and asynchronous machines. Bosch states efficiencies up to 93% in relevant driving cycles globally and links higher power density at up to 800 V to the use of silicon-carbide semiconductor technology.
4;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/thermal-management/heat-pump-unit/;False;3;Bosch presents a preintegrated heat-pump unit for electric vehicles that provides heating and cooling using propane refrigerant (R290). The module is intended to consolidate functions in one compact unit, lowering the complexity of the refrigerant circuit while offering scalable heating and cooling performance. Example uses include preconditioning or cooling a high-voltage battery and air-conditioning the vehicle interior. The page states the unit is available with one or two evaporators and that propane enables operation in both hot and cold climates, with cost advantages versus CO? systems. It also notes heating down to ambient temperatures of ?20 °C in heat-pump mode, helping avoid inefficient electric auxiliary heaters.
5;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/driving-safety/brake-by-wire/;False;4;"In Bosch’s brake-by-wire concept, electrical signal lines replace the mechanical connection between the brake pedal and the brake system. The system is described as consisting of a by-wire brake actuator and an ESP® unit, with the driver’s brake request transmitted through redundant signal lines; the two actuators are assigned to different channels of a redundant system. If a fault occurs, both actuators can build the required brake pressure on all four wheel brakes, and Bosch states this redundancy supports highly automated driving. The by-wire brake actuator implements the driver’s request and can be installed in different vehicle locations, adjusting hydraulic pressure with low energy consumption and providing high pressure build-up dynamics and positioning accuracy for blending electrical and hydraulic braking."
6;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/sensors/corner-radar-sensor/;False ;6;Bosch’s corner radar sensor is described as a surround sensor for advanced convenience and safety functions and for automated driving. The feature text highlights long range, wide beam angle, and strong angular resolution, and references a system-on-chip (SoC) design with a 3D waveguide. A proprietary chirp-sequence modulation approach is described as improving perception by extracting more detail from reflected signals, enabling detection of object position, relative speed, and direction of motion with very high accuracy. The technical data lists a 76–77 GHz frequency range, detection range up to 210/236 m, dimensions of 63 mm × 72 mm × 19 mm (without plug), and power consumption below 4 W.
7;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/power-electronics/charger-converter/;False;2,6;The charger-converter is presented as a combined unit that integrates an on-board charger for the high-voltage battery and a high-voltage DC/DC converter that supplies the 12-V electrical system by converting energy from the high-voltage battery. Bosch attributes reduced packaging size to silicon-carbide technology enabling higher switching frequencies, and notes optional integration of vehicle charge communication unit functions. The technical data lists a 240–475 VDC high-voltage range, converter power of 2.4 kW at 14 V (forward), and interfaces including CAN(FD) plus CCS and ChaoJi. Charger ratings are given as 7.2 kW (1-ph, 2-ph) and 11 kW (1-ph, 3-ph), and firmware-over-the-air update support is stated.
8;Robert Bosch GmbH;https://www.bosch.com;https://www.bosch-mobility.com/en/solutions/powertrain/diesel/common-rail-system-piezo/;False;7;For diesel powertrains, Bosch describes a common-rail system with piezo injectors designed for maximum injection pressures up to 2,700 bar. The system layout separates pressure generation from injection: a high-pressure pump supplies fuel at high pressure, and a rail on the engine serves as a high-pressure accumulator that distributes fuel to the injectors on each cylinder. Injection timing and injected quantity are calculated and controlled individually for each cylinder. Bosch states the piezo common-rail system can deliver up to ten injections per cycle. The page also mentions features such as DRS, intended to allow a smaller delay time between injections, and a new closed-loop control (NCC) that can reduce injection deviations by compensating for variables measured by sensors.
9;Robert Bosch GmbH;https://www.bosch.com;https://www.boschrexroth.com/en/de/products/industrial-solutions/hagglunds/hagglunds-motors/hagglunds-atom/;False;8;In non-automotive industrial hydraulics, Bosch Rexroth describes the Hägglunds Atom hydraulic motor as providing a maximum torque of 13.6 kNm for a hydraulic drive system. Because the motor can deliver full torque at its top speed of 400 rpm, the page derives a maximum power of 394 kW, and it lists a maximum pressure of 420 bar. The description adds that the motor mounts directly on the shaft in a compact design intended to withstand harsh environments. It also notes that a peak pressure of 420 bar helps it handle shock loads and cites applications such as shredder drive systems as examples of tough and unpredictable duties.
10;ZF Friedrichshafen AG;https://www.zf.com;https://www.zf.com/products/en/cars/products_66243.html;False;2;ZF states that its passenger-car inverter range covers applications from compact vehicles with about 100 kW traction drives and 400-V inverters through to higher-performance models using about 200 kW and 800-V inverters. For the 800-V class, the company highlights silicon-carbide based power electronics. The description frames the inverter portfolio as scalable across vehicle segments and voltage levels, matching different e-drive outputs without changing the overall supplier approach.
